x,z,groundY,normalY,firstCollider,navDistance,complete
2,16,-0.075,1.000,Click blocker Masonry batch 0,0.024,True
3,16,-0.087,1.000,Click blocker Masonry batch 0,0.035,True
4,16,-0.094,1.000,Click blocker Masonry batch 0,0.043,True
5,16,-0.102,1.000,Click blocker Masonry batch 0,0.051,True
6,16,-0.107,1.000,Click blocker Masonry batch 0,0.045,True
7,16,-0.130,0.999,Click blocker Masonry batch 0,0.037,True
8,16,-0.164,0.999,Click blocker Masonry batch 0,0.082,True
9,16,1.351,1.000,Click blocker Masonry batch 0,-1.000,False
-9,17,1.277,0.999,Click blocker Masonry batch 6,-1.000,False
-8,17,-0.107,1.000,Click blocker Masonry batch 0,0.065,True
-7,17,-0.111,1.000,Click blocker Masonry batch 0,0.004,True
-6,17,-0.115,1.000,Click blocker Masonry batch 0,0.008,True
-5,17,-0.111,1.000,Click blocker Masonry batch 0,0.019,True
-4,17,-0.111,1.000,Click blocker Masonry batch 0,0.036,True
-3,17,-0.102,1.000,Click blocker Masonry batch 0,0.041,True
-2,17,-0.093,1.000,Click blocker Masonry batch 0,0.047,True
-1,17,-0.084,1.000,Click blocker Masonry batch 0,0.052,True
0,17,-0.082,1.000,Click blocker Masonry batch 0,0.015,True
1,17,-0.081,1.000,Click blocker Masonry batch 0,0.029,True
2,17,-0.079,1.000,Click blocker Masonry batch 0,0.028,True
3,17,-0.081,1.000,Click blocker Masonry batch 0,0.030,True
4,17,-0.090,1.000,Click blocker Masonry batch 0,0.039,True
5,17,-0.099,1.000,Click blocker Masonry batch 0,0.048,True
6,17,-0.108,1.000,Click blocker Masonry batch 0,0.055,True
7,17,-0.135,0.999,Click blocker Masonry batch 0,0.030,True
8,17,-0.169,0.999,Click blocker Masonry batch 0,0.100,True
9,17,1.354,1.000,Click blocker Masonry batch 0,-1.000,False
-9,18,2.872,0.183,Click blocker Masonry batch 7,-1.000,False
-8,18,0.177,0.185,Click blocker Masonry batch 1,0.592,True
-7,18,-0.108,1.000,Click blocker Masonry batch 0,0.002,True
-6,18,-0.112,1.000,Click blocker Masonry batch 0,0.209,True
-5,18,-0.111,1.000,Click blocker Masonry batch 0,0.025,True
-4,18,-0.113,1.000,Click blocker Masonry batch 0,0.043,True
-3,18,-0.103,1.000,Click blocker Masonry batch 0,0.051,True
-2,18,-0.094,1.000,Click blocker Masonry batch 0,0.030,True
-1,18,-0.103,1.000,Click blocker Masonry batch 0,0.037,True
0,18,-0.103,1.000,Click blocker Masonry batch 0,0.030,True
1,18,-0.102,1.000,Click blocker Masonry batch 0,0.047,True
2,18,-0.092,1.000,Click blocker Masonry batch 0,0.041,True
3,18,-0.088,1.000,Click blocker Masonry batch 0,0.036,True
4,18,-0.097,1.000,Click blocker Masonry batch 0,0.045,True
5,18,-0.106,1.000,Click blocker Masonry batch 0,0.023,True
6,18,-0.123,1.000,Click blocker Masonry batch 0,0.213,True
7,18,-0.140,1.000,Click blocker Masonry batch 0,0.021,True
8,18,0.111,0.523,Click blocker Masonry batch 1,0.575,True
9,18,2.125,0.999,Click blocker Masonry batch 6,-1.000,False
-9,19,2.316,1.000,Click blocker Masonry batch 1,-1.000,False
-8,19,0.299,1.000,Click blocker Masonry batch 1,-1.000,False
-7,19,-0.130,1.000,Click blocker Masonry batch 0,0.011,True
-6,19,-0.114,1.000,Click blocker Masonry batch 0,0.107,True
-5,19,-0.111,1.000,Click blocker Masonry batch 0,0.039,True
-4,19,-0.100,1.000,Click blocker Masonry batch 0,0.041,True
-3,19,-0.090,1.000,Click blocker Masonry batch 0,0.038,True
-2,19,-0.101,1.000,Click blocker Masonry batch 0,0.044,True
-1,19,-0.120,1.000,Click blocker Masonry batch 0,0.041,True
0,19,-0.123,1.000,Click blocker Masonry batch 0,0.045,True
1,19,-0.111,1.000,Click blocker Masonry batch 0,0.050,True
2,19,-0.099,1.000,Click blocker Masonry batch 0,0.047,True
3,19,-0.094,1.000,Click blocker Masonry batch 0,0.023,True
4,19,-0.104,1.000,Click blocker Masonry batch 0,0.014,True
5,19,-0.121,1.000,Click blocker Masonry batch 0,0.015,True
6,19,-0.136,1.000,Click blocker Masonry batch 0,0.021,True
7,19,-0.151,1.000,Click blocker Masonry batch 0,0.017,True
8,19,0.300,1.000,Click blocker Masonry batch 1,-1.000,False
9,19,1.936,1.000,Click blocker Masonry batch 1,-1.000,False
-9,20,1.352,1.000,Click blocker Masonry batch 1,-1.000,False
-8,20,1.697,1.000,Click blocker Masonry batch 7,-1.000,False
-7,20,-0.415,0.884,Click blocker Masonry batch 0,0.430,True
-6,20,1.525,1.000,Click blocker Masonry batch 1,-1.000,False
-5,20,1.524,1.000,Click blocker Masonry batch 1,-1.000,False
-4,20,-0.007,1.000,Click blocker Masonry batch 2,0.539,True
-3,20,-0.411,0.926,Click blocker Masonry batch 0,0.167,True
-2,20,-0.357,0.858,Click blocker Masonry batch 0,0.272,True
-1,20,-0.688,0.557,Click blocker Masonry batch 0,0.629,True
0,20,-0.279,0.968,Click blocker Masonry batch 0,0.178,True
1,20,-0.199,0.967,Click blocker Masonry batch 0,0.044,True
2,20,-0.118,0.967,Click blocker Masonry batch 0,0.042,True
3,20,-0.102,1.000,Click blocker Masonry batch 0,0.034,True
4,20,-0.145,0.967,Click blocker Masonry batch 0,0.031,True
5,20,1.524,1.000,Click blocker Masonry batch 1,-1.000,False
6,20,1.461,0.130,Click blocker Masonry batch 1,-1.000,False
7,20,-0.333,0.961,Click blocker Masonry batch 0,0.571,True
8,20,1.525,1.000,Click blocker Masonry batch 1,-1.000,False
9,20,1.353,1.000,Click blocker Masonry batch 0,-1.000,False
